course_pace,lecture_pace,engagement,resources,learn_best,lecture_suggestion,how_easy
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,Doing assignments individually,Online forum: Ed Discussion","No change\, keep it as is",Same easiness/difficulty level as other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","No change\, keep it as is",Somewhat easier than other courses
About right,About right,Low,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,Other","In-lab,Doing assignments individually,Other","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Other","In-class: lecture,In-class: application exercises,Doing assignments individually,Other","No change\, keep it as is",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-lab,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat easier than other courses
About right,A little too slow,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students","In-class: lecture,In-class: application exercises","No change\, keep it as is",Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Office hours","Prepare materials: videos,Prepare materials: readings","No change\, keep it as is",Much more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Doing assignments as a team or with other students","In-lab,Prepare materials: videos","No change\, keep it as is",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,AI feedback tool",Doing assignments individually,"No change\, keep it as is",Same easiness/difficulty level as other courses
About right,A little too slow,Moderate,"In-class: lecture,In-class: application exercises,Prepare materials: readings,Doing assignments individually",Prepare materials: readings,"More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat easier than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,AI feedback tool,Other","In-class: lecture,In-class: application exercises,In-lab,Doing assignments as a team or with other students","More live coding on application exercises (instructor coding\, students following along in real-time),More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool",In-class: lecture,"No change\, keep it as is",Same easiness/difficulty level as other courses
Much too fast,A little too fast,Very high,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","In-lab,Office hours","More live coding on application exercises (instructor coding\, students following along in real-time)",Much more difficult than other courses
A little too fast,About right,High,"In-class: lecture,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool,Other","In-class: lecture,In-lab,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","No change\, keep it as is",Same easiness/difficulty level as other courses
A little too fast,A little too fast,Moderate,"In-class: lecture,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-lab,Doing assignments as a team or with other students","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Much more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat easier than other courses
About right,About right,Low,"In-class: lecture,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments as a team or with other students,Online forum: Ed Discussion","In-lab,Prepare materials: videos,Prepare materials: readings","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Same easiness/difficulty level as other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Office hours,Online forum: Ed Discussion",More lecture,Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-lab,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually","In-class: application exercises,Doing assignments individually","More live coding on application exercises (instructor coding\, students following along in real-time),More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Same easiness/difficulty level as other courses
About right,A little too fast,High,"In-class: lecture,In-lab,Prepare materials: videos,Doing assignments individually,Office hours",Doing assignments individually,"More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments as a team or with other students","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually","In-class: application exercises,In-lab,Prepare materials: videos","More live coding on application exercises (instructor coding\, students following along in real-time),No change\, keep it as is",Somewhat easier than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion","In-class: lecture,In-class: application exercises,In-lab,Online forum: Ed Discussion","More live coding on application exercises (instructor coding\, students following along in real-time)",Same easiness/difficulty level as other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students","No change\, keep it as is",Somewhat more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,Doing assignments individually,Online forum: Ed Discussion","No change\, keep it as is",Same easiness/difficulty level as other courses
A little too fast,A little too fast,Very high,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: application exercises,Prepare materials: videos,Doing assignments individually","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat easier than other courses
A little too fast,A little too fast,Very high,"In-class: lecture,In-lab,Prepare materials: videos,Doing assignments individually","Prepare materials: videos,Doing assignments individually","No change\, keep it as is",Much more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students","More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: application exercises,Doing assignments individually,AI feedback tool","More live coding on application exercises (instructor coding\, students following along in real-time)",Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students",Doing assignments individually,"No change\, keep it as is",Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students","In-class: lecture,In-lab,Doing assignments individually,Doing assignments as a team or with other students",More lecture,Somewhat easier than other courses
A little too slow,A little too slow,Low,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually","In-class: application exercises,Doing assignments individually","More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Much easier than other courses
About right,A little too fast,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-lab,Doing assignments individually","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Much more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Office hours,AI feedback tool","In-class: lecture,In-lab,Doing assignments individually,Office hours","More lecture,More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,A little too slow,Low,"In-class: lecture,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Office hours,AI feedback tool,Other","In-class: lecture,In-lab,Doing assignments as a team or with other students,Office hours,AI feedback tool","More live coding on application exercises (instructor coding\, students following along in real-time),No change\, keep it as is",Same easiness/difficulty level as other courses
About right,A little too fast,Moderate,"In-class: lecture,In-lab,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,Prepare materials: readings,Doing assignments individually","More live coding on application exercises (instructor coding\, students following along in real-time)",Much more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","In-class: lecture,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","More live coding on application exercises (instructor coding\, students following along in real-time)",Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Office hours,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,AI feedback tool","More live coding on application exercises (instructor coding\, students following along in real-time),More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Somewhat easier than other courses
About right,A little too fast,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,AI feedback tool","Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Online forum: Ed Discussion","In-class: lecture,In-class: application exercises,In-lab","More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Same easiness/difficulty level as other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments individually,AI feedback tool","In-class: lecture,In-lab,Prepare materials: readings,Doing assignments individually,AI feedback tool","No change\, keep it as is",Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Office hours,Online forum: Ed Discussion","In-class: application exercises,Prepare materials: videos,Office hours,Online forum: Ed Discussion","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,Very high,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-lab,Doing assignments individually,Office hours","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion","In-lab,Online forum: Ed Discussion","No change\, keep it as is",Somewhat more difficult than other courses
About right,A little too fast,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Online forum: Ed Discussion,AI feedback tool",AI feedback tool,"More live coding on application exercises (instructor coding\, students following along in real-time)",Much more difficult than other courses
About right,About right,Very high,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,AI feedback tool","In-class: application exercises,Doing assignments individually,AI feedback tool","More live coding on application exercises (instructor coding\, students following along in real-time),More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","No change\, keep it as is",Somewhat more difficult than other courses
A little too fast,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-lab,Doing assignments individually,Online forum: Ed Discussion","No change\, keep it as is",Same easiness/difficulty level as other courses
About right,A little too slow,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: application exercises,In-lab,Doing assignments individually","No change\, keep it as is",Somewhat easier than other courses
A little too fast,A little too fast,High,"In-class: lecture,In-lab,Office hours,Online forum: Ed Discussion,AI feedback tool","In-lab,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","No change\, keep it as is",Same easiness/difficulty level as other courses
A little too fast,About right,Moderate,"In-class: lecture,Online forum: Ed Discussion","In-class: lecture,In-class: application exercises","No change\, keep it as is",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-lab,Prepare materials: videos,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,Prepare materials: videos,Doing assignments as a team or with other students,AI feedback tool","No change\, keep it as is",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Office hours,Online forum: Ed Discussion,AI feedback tool","In-lab,Doing assignments individually,Doing assignments as a team or with other students","More live coding on application exercises (instructor coding\, students following along in real-time)",Same easiness/difficulty level as other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Office hours,AI feedback tool","In-class: lecture,In-class: application exercises,Doing assignments individually,Doing assignments as a team or with other students,Office hours",More lecture,Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,Doing assignments as a team or with other students",In-class: application exercises,"No change\, keep it as is",Somewhat easier than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually","In-class: lecture,In-class: application exercises,In-lab","No change\, keep it as is",Somewhat easier than other courses
About right,A little too fast,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Doing assignments individually","Prepare materials: videos,Doing assignments individually","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat easier than other courses
About right,About right,Very high,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students","In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students","No change\, keep it as is",Somewhat easier than other courses
About right,About right,Moderate,"In-class: lecture,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","No change\, keep it as is",Somewhat more difficult than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: application exercises,Doing assignments individually","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments as a team or with other students,AI feedback tool","No change\, keep it as is",Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-lab,Online forum: Ed Discussion,AI feedback tool","In-lab,Doing assignments individually,Doing assignments as a team or with other students,AI feedback tool","More live coding on application exercises (instructor coding\, students following along in real-time),More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion","In-class: lecture,In-lab,Prepare materials: videos,Doing assignments individually","No change\, keep it as is",Somewhat more difficult than other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Office hours,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-lab,Doing assignments individually",More lecture,Same easiness/difficulty level as other courses
About right,About right,Moderate,"In-class: lecture,In-class: application exercises,In-lab,Doing assignments individually,Office hours,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises","No change\, keep it as is",Somewhat easier than other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: readings,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-lab,Doing assignments individually","More live coding on application exercises (instructor coding\, students following along in real-time),More your turn breaks on application exercises (students working on exercises\, TAs walking around and helping)",Same easiness/difficulty level as other courses
About right,About right,High,"In-class: lecture,In-class: application exercises,In-lab,Prepare materials: videos,Prepare materials: readings,Doing assignments individually,Online forum: Ed Discussion,AI feedback tool","In-class: lecture,In-class: application exercises,Online forum: Ed Discussion","More live coding on application exercises (instructor coding\, students following along in real-time)",Somewhat more difficult than other courses
About right,A little too slow,Low,"In-class: lecture,In-lab,Doing assignments individually,Doing assignments as a team or with other students,Online forum: Ed Discussion","In-lab,Doing assignments individually","No change\, keep it as is",Same easiness/difficulty level as other courses
