tip,distance,company,local,dow,month,hour
no,0.75,Flash Cab,no,Mon,Feb,11
no,1.39,Sun Taxi,no,Mon,Feb,16
no,0.9,Taxi Affiliation Services,yes,Tue,Feb,14
no,1.39,City Service,no,Mon,Mar,11
no,0.8,Flash Cab,no,Fri,Mar,13
no,2.5,Chicago Independents,no,Wed,Jan,10
no,10.08,City Service,no,Fri,Apr,21
no,2.71,Flash Cab,yes,Wed,Feb,7
no,2.35,Flash Cab,no,Mon,Apr,17
no,1.9,Chicago Independents,no,Sat,Feb,18
no,2.88,Sun Taxi,no,Sun,Apr,12
no,1.68,Flash Cab,no,Sat,Mar,15
no,5.68,City Service,no,Wed,Mar,9
no,1.1,other,no,Sat,Mar,13
no,11.14,City Service,no,Tue,Jan,9
no,0.95,City Service,yes,Thu,Jan,15
no,16.8,other,no,Sat,Mar,11
no,11.08,Flash Cab,no,Fri,Feb,9
no,10.62,Flash Cab,no,Wed,Apr,15
no,0.3,Sun Taxi,no,Fri,Apr,18
no,1.01,Taxicab Insurance Agency Llc,no,Wed,Jan,16
no,0,Taxi Affiliation Services,yes,Wed,Mar,18
no,0,other,yes,Fri,Mar,12
no,2.8,other,no,Fri,Mar,18
no,0.85,other,yes,Tue,Mar,19
no,1.6,other,no,Tue,Mar,19
no,0.24,Chicago Independents,no,Wed,Jan,10
no,1.28,Flash Cab,yes,Tue,Apr,14
no,0.82,City Service,yes,Mon,Mar,14
no,18.26,City Service,no,Fri,Feb,16
no,18,Chicago Independents,no,Wed,Mar,14
no,10.1,Flash Cab,no,Fri,Mar,10
no,1.65,Flash Cab,no,Tue,Jan,9
no,1.95,other,yes,Fri,Mar,21
no,1.54,Sun Taxi,yes,Wed,Mar,18
no,1.42,other,no,Thu,Apr,16
no,1.26,Sun Taxi,no,Thu,Jan,10
no,0.96,Taxicab Insurance Agency Llc,no,Fri,Feb,18
no,5.92,City Service,no,Thu,Mar,13
no,0,other,yes,Fri,Apr,12
no,1.26,Taxicab Insurance Agency Llc,no,Sat,Mar,8
no,3.15,Flash Cab,no,Thu,Apr,14
no,18.06,Taxicab Insurance Agency Llc,no,Thu,Jan,8
no,1.09,other,yes,Tue,Apr,13
no,1.5,Chicago Independents,yes,Tue,Jan,18
no,0.95,Sun Taxi,yes,Fri,Jan,8
no,3.1,other,no,Tue,Mar,19
no,0.43,Sun Taxi,yes,Wed,Feb,18
no,0,other,yes,Thu,Mar,16
no,0.3,other,yes,Thu,Jan,15
no,1.53,City Service,no,Thu,Feb,17
no,16.9,Chicago Independents,no,Fri,Apr,8
no,8.6,other,yes,Mon,Feb,14
no,16.4,Chicago Independents,no,Sun,Apr,10
no,20.07,City Service,no,Mon,Feb,21
no,0,Taxi Affiliation Services,no,Tue,Mar,14
no,0,Taxi Affiliation Services,yes,Sun,Feb,15
no,10.09,other,no,Thu,Feb,14
no,8.79,Flash Cab,yes,Fri,Apr,18
no,0,Taxi Affiliation Services,no,Thu,Feb,15
no,5.37,Flash Cab,yes,Sun,Mar,12
no,13.38,other,no,Sat,Apr,21
no,0.9,other,yes,Wed,Mar,10
no,0,Flash Cab,yes,Thu,Jan,12
no,18.38,Sun Taxi,no,Tue,Mar,5
no,4.14,Flash Cab,no,Thu,Mar,16
no,0.91,Taxicab Insurance Agency Llc,no,Fri,Jan,17
no,1.72,other,no,Fri,Apr,8
no,1.58,Flash Cab,no,Thu,Jan,12
no,8.54,other,yes,Fri,Feb,17
no,0.6,Taxi Affiliation Services,no,Wed,Apr,15
no,2.05,other,no,Thu,Jan,18
no,6.64,Flash Cab,no,Sat,Feb,12
no,1.3,Taxi Affiliation Services,yes,Fri,Apr,18
no,0,Flash Cab,yes,Thu,Feb,18
no,0.2,Taxi Affiliation Services,no,Mon,Mar,12
no,9.18,Taxicab Insurance Agency Llc,no,Wed,Feb,16
no,0.8,Taxi Affiliation Services,yes,Tue,Mar,16
no,13,Taxicab Insurance Agency Llc,no,Sat,Apr,19
no,5.78,City Service,no,Wed,Mar,10
no,1,Taxi Affiliation Services,no,Sun,Mar,12
no,0,Taxi Affiliation Services,no,Sat,Apr,12
no,4.04,City Service,no,Sat,Apr,18
no,1.82,City Service,no,Wed,Jan,19
no,3.08,other,no,Tue,Apr,12
no,1.03,other,no,Thu,Mar,21
no,17.8,other,no,Mon,Feb,11
no,1.44,Flash Cab,no,Wed,Apr,14
no,2.98,Taxicab Insurance Agency Llc,no,Mon,Mar,23
no,9.66,other,no,Sat,Jan,13
no,0.53,Sun Taxi,no,Thu,Jan,15
no,0,Taxi Affiliation Services,yes,Mon,Mar,19
no,18.5,other,no,Wed,Feb,13
no,7.66,Sun Taxi,no,Thu,Feb,14
no,0.09,Sun Taxi,no,Fri,Jan,16
no,1.7,other,no,Thu,Feb,21
no,1,other,yes,Wed,Feb,20
no,0.55,Sun Taxi,no,Sat,Jan,14
no,10.36,Flash Cab,no,Sat,Feb,18
no,1.28,other,no,Tue,Feb,12
no,0,Taxi Affiliation Services,yes,Tue,Apr,10
no,1.08,Sun Taxi,yes,Sun,Mar,16
no,1.25,Flash Cab,no,Thu,Feb,10
no,1.79,Taxicab Insurance Agency Llc,no,Wed,Mar,17
no,0.1,Taxi Affiliation Services,no,Mon,Mar,12
no,0,Taxi Affiliation Services,yes,Sun,Mar,11
no,0.1,Taxi Affiliation Services,no,Thu,Feb,10
no,1.98,Taxicab Insurance Agency Llc,no,Sun,Apr,17
no,0.5,Taxi Affiliation Services,yes,Mon,Apr,16
no,0.69,other,no,Mon,Mar,16
no,1.06,other,no,Sun,Apr,10
no,1.45,Flash Cab,no,Mon,Mar,18
no,18.1,other,no,Sun,Apr,0
no,0,Flash Cab,yes,Wed,Apr,5
no,4.54,Sun Taxi,no,Thu,Feb,17
no,18.03,Sun Taxi,no,Wed,Apr,21
no,1.7,Taxi Affiliation Services,no,Tue,Apr,17
no,1.61,Sun Taxi,no,Thu,Apr,16
no,0.86,other,no,Sat,Apr,11
no,4.7,Taxi Affiliation Services,no,Fri,Jan,9
no,11.2,other,no,Thu,Mar,15
no,2.6,Taxi Affiliation Services,no,Fri,Feb,12
no,0,Flash Cab,no,Thu,Apr,8
no,1.1,Taxi Affiliation Services,no,Wed,Apr,16
no,0.2,Taxi Affiliation Services,no,Tue,Jan,13
no,1.11,Flash Cab,no,Tue,Feb,8
no,2.73,Taxicab Insurance Agency Llc,no,Thu,Jan,8
no,1.05,Flash Cab,no,Thu,Feb,16
no,1.5,Taxi Affiliation Services,no,Sat,Apr,18
no,0,Chicago Independents,no,Wed,Feb,7
no,1.83,City Service,no,Wed,Feb,18
no,1.82,other,no,Thu,Mar,18
no,12.63,Flash Cab,no,Thu,Mar,16
no,0,Flash Cab,no,Sat,Apr,23
no,3.91,Chicago Independents,no,Thu,Jan,7
no,0.69,Flash Cab,yes,Thu,Feb,16
no,1.56,other,no,Tue,Mar,8
no,1.03,Flash Cab,no,Wed,Mar,13
no,4.87,other,no,Wed,Mar,9
no,13.21,other,no,Fri,Mar,10
no,0,Flash Cab,no,Thu,Feb,19
no,1,other,no,Mon,Feb,22
no,1.68,Flash Cab,yes,Tue,Apr,13
no,0.7,other,yes,Fri,Feb,9
no,0.64,Chicago Independents,yes,Thu,Mar,16
no,13.59,Taxicab Insurance Agency Llc,no,Tue,Apr,14
no,2.59,Sun Taxi,no,Fri,Apr,19
no,18.12,other,no,Thu,Feb,12
no,0,other,no,Sat,Mar,20
no,0.79,Flash Cab,no,Wed,Jan,7
no,11.33,Flash Cab,no,Thu,Mar,19
no,0.9,City Service,yes,Fri,Mar,14
no,18.09,Sun Taxi,no,Wed,Mar,11
no,0.72,City Service,yes,Thu,Mar,17
no,16.98,Taxicab Insurance Agency Llc,no,Thu,Apr,11
no,11.6,Taxi Affiliation Services,no,Fri,Apr,12
no,4.7,Taxi Affiliation Services,no,Wed,Feb,16
no,0.8,other,yes,Wed,Feb,11
no,0.56,other,yes,Fri,Apr,16
no,10.9,Taxi Affiliation Services,no,Wed,Feb,12
no,10.21,Flash Cab,no,Wed,Apr,12
no,1.71,Sun Taxi,no,Sun,Mar,13
no,18.05,Sun Taxi,no,Wed,Mar,19
no,0.8,other,yes,Thu,Mar,13
no,4.85,other,no,Tue,Mar,16
no,0.96,Flash Cab,no,Mon,Mar,14
no,1.79,Taxicab Insurance Agency Llc,no,Fri,Jan,17
no,8.57,Flash Cab,no,Thu,Apr,8
no,0.54,other,yes,Mon,Feb,15
no,1,Taxi Affiliation Services,no,Wed,Apr,23
no,0,Taxi Affiliation Services,no,Fri,Jan,10
no,2.19,Flash Cab,no,Sat,Feb,23
no,6.12,Flash Cab,no,Fri,Jan,17
no,1.99,other,no,Tue,Apr,17
no,3.93,City Service,no,Wed,Jan,14
no,1.7,other,no,Tue,Jan,12
no,1.26,Sun Taxi,no,Mon,Jan,14
no,1.23,Taxicab Insurance Agency Llc,yes,Thu,Mar,18
no,0.1,Taxi Affiliation Services,no,Wed,Mar,15
no,3.58,other,no,Sun,Feb,10
no,17.3,other,no,Thu,Jan,22
no,0,Taxi Affiliation Services,no,Thu,Feb,17
no,5.6,Taxi Affiliation Services,no,Fri,Mar,15
no,11.68,Flash Cab,no,Tue,Feb,10
no,1.45,other,no,Sat,Mar,17
no,1.94,Flash Cab,no,Mon,Feb,11
no,2.8,Taxi Affiliation Services,no,Fri,Apr,12
no,0.1,Taxi Affiliation Services,no,Mon,Mar,10
no,8.35,Flash Cab,no,Wed,Mar,13
no,18.2,other,no,Wed,Jan,19
no,0.79,other,yes,Mon,Mar,16
no,0,other,yes,Fri,Jan,12
no,17.7,Taxi Affiliation Services,no,Sun,Apr,13
no,0.88,Sun Taxi,yes,Mon,Apr,12
no,0,Taxi Affiliation Services,yes,Mon,Mar,11
no,1.47,Flash Cab,no,Sat,Feb,18
no,1.44,Chicago Independents,no,Fri,Apr,23
no,0.4,Taxi Affiliation Services,yes,Fri,Feb,16
no,1.66,Flash Cab,no,Fri,Feb,12
no,0,Taxicab Insurance Agency Llc,yes,Wed,Feb,19
no,2.47,other,no,Fri,Feb,20
no,3.3,Taxi Affiliation Services,yes,Thu,Feb,16
no,2,Taxi Affiliation Services,no,Fri,Feb,19
no,1.86,City Service,no,Tue,Feb,16
no,0.65,City Service,no,Wed,Mar,10
no,0,other,no,Wed,Apr,17
no,1.56,Taxicab Insurance Agency Llc,no,Wed,Mar,17
no,0,other,no,Thu,Jan,16
no,1.4,other,no,Wed,Feb,17
no,1.57,City Service,no,Fri,Mar,19
no,2.62,City Service,no,Wed,Feb,13
no,0,Taxi Affiliation Services,no,Wed,Jan,18
no,11.75,other,no,Mon,Feb,9
no,16.5,Taxi Affiliation Services,no,Fri,Apr,15
no,1.07,other,no,Tue,Jan,12
no,0.4,other,yes,Fri,Mar,16
no,16.82,other,no,Thu,Feb,20
no,1.51,City Service,no,Sun,Apr,7
no,0,other,yes,Sun,Feb,13
no,1.24,other,yes,Fri,Apr,22
no,0.02,Taxicab Insurance Agency Llc,no,Mon,Apr,7
no,1.79,Chicago Independents,no,Mon,Feb,9
no,4.82,other,no,Tue,Feb,11
no,0,Taxi Affiliation Services,yes,Sun,Jan,13
no,1.31,Sun Taxi,no,Mon,Mar,15
no,1.93,City Service,no,Tue,Mar,11
no,0,Taxi Affiliation Services,no,Thu,Feb,10
no,17.79,other,no,Sun,Apr,11
no,1.92,City Service,no,Tue,Jan,8
no,0.9,Taxicab Insurance Agency Llc,no,Wed,Feb,10
no,0,Flash Cab,yes,Thu,Feb,18
no,0,other,yes,Tue,Apr,13
no,16.46,Flash Cab,no,Fri,Apr,19
no,1.51,other,yes,Wed,Feb,11
no,1.4,Taxi Affiliation Services,no,Wed,Apr,11
no,1.12,Taxicab Insurance Agency Llc,no,Tue,Jan,17
no,3.22,Sun Taxi,no,Tue,Apr,8
no,0.1,Taxi Affiliation Services,no,Fri,Apr,16
no,17.22,City Service,no,Tue,Apr,15
no,6.6,Taxi Affiliation Services,no,Wed,Jan,15
no,10.4,City Service,no,Sat,Apr,17
no,1.23,other,no,Fri,Apr,12
no,0.5,Taxi Affiliation Services,no,Tue,Mar,9
no,0,Flash Cab,yes,Wed,Feb,11
no,11.19,Flash Cab,no,Mon,Apr,10
no,0.57,other,no,Fri,Jan,20
no,0,Taxi Affiliation Services,no,Wed,Mar,16
no,2.1,other,no,Fri,Apr,21
no,3.5,Taxi Affiliation Services,no,Wed,Apr,10
no,3.07,City Service,no,Wed,Apr,13
no,5.5,Taxi Affiliation Services,no,Tue,Feb,9
no,0.91,other,no,Sun,Apr,18
no,18.44,other,no,Thu,Jan,8
yes,1.88,Taxicab Insurance Agency Llc,no,Fri,Mar,12
yes,1.05,Taxicab Insurance Agency Llc,no,Thu,Apr,15
yes,0.71,Taxicab Insurance Agency Llc,yes,Tue,Feb,13
yes,0.5,Taxi Affiliation Services,no,Fri,Mar,11
yes,1.79,other,no,Fri,Apr,16
yes,19.28,other,no,Fri,Apr,8
yes,1.21,Flash Cab,no,Sat,Feb,13
yes,18.88,Chicago Independents,no,Sat,Apr,14
yes,0.73,City Service,no,Thu,Mar,11
yes,0.77,Taxicab Insurance Agency Llc,no,Mon,Mar,7
yes,2.2,other,no,Sat,Jan,13
yes,21.3,other,no,Mon,Mar,15
yes,2.63,other,no,Tue,Apr,9
yes,0.81,other,no,Fri,Mar,18
yes,12.6,Taxi Affiliation Services,no,Mon,Mar,21
yes,1.06,other,no,Wed,Feb,13
yes,13.1,City Service,no,Wed,Mar,15
yes,12.06,Sun Taxi,no,Thu,Mar,20
yes,26.26,other,no,Mon,Apr,13
yes,0,Taxi Affiliation Services,no,Wed,Apr,20
yes,15.2,other,no,Fri,Apr,22
yes,0,Taxi Affiliation Services,yes,Sat,Jan,19
yes,18.91,Sun Taxi,no,Wed,Feb,16
yes,16.6,other,no,Sun,Apr,19
yes,1.1,other,no,Wed,Mar,19
yes,0.36,Flash Cab,yes,Tue,Feb,18
yes,1.54,Taxicab Insurance Agency Llc,no,Wed,Apr,9
yes,17.4,other,no,Thu,Apr,17
yes,16.9,Taxi Affiliation Services,no,Tue,Feb,18
yes,1.91,Sun Taxi,no,Wed,Feb,7
yes,17.64,other,no,Sun,Mar,13
yes,0,Taxi Affiliation Services,yes,Thu,Feb,19
yes,17.89,Taxicab Insurance Agency Llc,no,Tue,Mar,18
yes,18.65,other,no,Sun,Jan,15
yes,31.33,Taxicab Insurance Agency Llc,no,Thu,Apr,9
yes,13.2,other,no,Mon,Apr,22
yes,17.6,other,no,Mon,Feb,10
yes,13.47,Sun Taxi,no,Sat,Mar,10
yes,1.07,Flash Cab,yes,Sun,Apr,10
yes,1.42,Sun Taxi,yes,Fri,Mar,18
yes,16.47,Taxicab Insurance Agency Llc,no,Thu,Apr,23
yes,6.02,Taxicab Insurance Agency Llc,no,Fri,Feb,17
yes,0.04,City Service,yes,Sat,Apr,21
yes,1,Chicago Independents,no,Sat,Mar,11
yes,18.3,Taxi Affiliation Services,no,Wed,Jan,10
yes,18.13,Sun Taxi,no,Fri,Mar,13
yes,0,Taxi Affiliation Services,no,Tue,Mar,10
yes,0,other,yes,Thu,Mar,13
yes,2.2,Taxi Affiliation Services,no,Sun,Apr,15
yes,1.28,Sun Taxi,no,Fri,Apr,15
yes,0.7,Flash Cab,no,Mon,Mar,8
yes,1,Taxi Affiliation Services,no,Tue,Feb,14
yes,18.08,Flash Cab,no,Fri,Apr,12
yes,1.74,City Service,no,Tue,Mar,8
yes,17.5,Taxicab Insurance Agency Llc,no,Fri,Mar,23
yes,0,Flash Cab,no,Tue,Mar,7
yes,18.27,Sun Taxi,no,Wed,Mar,9
yes,18.15,Chicago Independents,no,Sun,Mar,14
yes,0.6,Taxi Affiliation Services,yes,Fri,Jan,21
yes,2.45,Sun Taxi,no,Fri,Apr,11
yes,13.4,other,no,Sun,Jan,11
yes,1.2,Taxi Affiliation Services,no,Sun,Mar,10
yes,15,other,no,Wed,Mar,20
yes,1.14,Sun Taxi,yes,Thu,Feb,18
yes,0.43,Flash Cab,no,Wed,Feb,12
yes,0.65,other,yes,Wed,Apr,16
yes,16.7,City Service,no,Sun,Apr,21
yes,10.85,other,no,Fri,Jan,23
yes,1.1,Taxi Affiliation Services,no,Fri,Jan,19
yes,17.22,other,no,Thu,Mar,15
yes,1.64,City Service,no,Wed,Feb,22
yes,17.9,other,no,Fri,Mar,17
yes,1.09,Taxicab Insurance Agency Llc,no,Tue,Feb,7
yes,0,Taxi Affiliation Services,no,Wed,Jan,17
yes,1.81,Sun Taxi,no,Wed,Mar,17
yes,1.34,City Service,no,Fri,Apr,22
yes,0.9,City Service,no,Thu,Apr,19
yes,1.5,Taxicab Insurance Agency Llc,no,Thu,Jan,15
yes,1.7,other,no,Fri,Mar,18
yes,1.75,other,no,Wed,Feb,15
yes,1.25,other,yes,Fri,Mar,18
yes,1.14,other,no,Thu,Apr,16
yes,0.1,Taxi Affiliation Services,no,Sat,Mar,0
yes,0.74,Sun Taxi,no,Fri,Feb,11
yes,1.09,City Service,yes,Fri,Feb,9
yes,11.91,other,no,Thu,Apr,19
yes,1.79,other,no,Fri,Feb,21
yes,18.18,City Service,no,Wed,Feb,19
yes,17.4,Taxicab Insurance Agency Llc,no,Tue,Feb,20
yes,1.67,Sun Taxi,no,Mon,Mar,11
yes,2.03,other,no,Fri,Apr,18
yes,1.05,Taxicab Insurance Agency Llc,yes,Sun,Mar,18
yes,18.3,Taxi Affiliation Services,no,Sun,Mar,13
yes,0.59,Taxicab Insurance Agency Llc,no,Thu,Feb,12
yes,17.11,Chicago Independents,no,Mon,Mar,18
yes,1.79,other,yes,Fri,Mar,21
yes,0.67,Flash Cab,yes,Wed,Jan,16
yes,0.9,Flash Cab,no,Fri,Mar,23
yes,0,Taxi Affiliation Services,yes,Wed,Mar,11
yes,0.56,other,yes,Thu,Mar,11
yes,0.46,other,yes,Tue,Jan,15
yes,1.86,Sun Taxi,no,Fri,Apr,11
yes,7.9,Taxi Affiliation Services,no,Sat,Apr,16
yes,0.14,Sun Taxi,no,Fri,Jan,19
yes,0,Taxi Affiliation Services,no,Tue,Feb,13
yes,0,Flash Cab,yes,Tue,Jan,18
yes,17.97,Taxicab Insurance Agency Llc,no,Wed,Mar,11
yes,2.07,Taxicab Insurance Agency Llc,no,Mon,Apr,7
yes,1.4,Chicago Independents,no,Tue,Apr,6
yes,0.97,other,yes,Wed,Feb,16
yes,0.82,Flash Cab,no,Sun,Jan,14
yes,1.7,other,no,Thu,Mar,15
yes,16.54,City Service,no,Wed,Jan,19
yes,0.83,other,no,Tue,Apr,12
yes,12.2,other,no,Wed,Apr,17
yes,2.55,City Service,no,Fri,Jan,17
yes,1.46,Flash Cab,no,Mon,Apr,16
yes,1.46,Sun Taxi,no,Tue,Apr,8
yes,2.7,other,no,Fri,Jan,12
yes,16.63,Chicago Independents,no,Tue,Apr,12
yes,11.28,other,no,Tue,Feb,18
yes,2.9,Taxi Affiliation Services,no,Sun,Mar,9
yes,1.23,other,yes,Wed,Jan,11
yes,2.54,Taxicab Insurance Agency Llc,no,Thu,Mar,17
yes,0.73,Taxicab Insurance Agency Llc,no,Sun,Mar,18
yes,1.3,Taxi Affiliation Services,no,Tue,Jan,19
yes,1.13,Flash Cab,yes,Mon,Apr,16
yes,0,Taxi Affiliation Services,yes,Thu,Feb,15
yes,18.3,other,no,Fri,Feb,19
yes,18.27,Flash Cab,no,Sat,Feb,13
yes,17.5,Flash Cab,no,Mon,Jan,19
yes,1.61,Flash Cab,no,Wed,Feb,20
yes,17.38,Taxicab Insurance Agency Llc,no,Wed,Mar,13
yes,1.4,other,no,Wed,Feb,20
yes,1.1,Taxi Affiliation Services,no,Sun,Apr,12
yes,3.42,Sun Taxi,no,Fri,Jan,16
yes,1.8,Taxi Affiliation Services,no,Thu,Jan,8
yes,2.24,other,no,Mon,Apr,17
yes,0,Taxi Affiliation Services,no,Thu,Feb,7
yes,0,Taxi Affiliation Services,no,Wed,Mar,21
yes,0.55,other,yes,Tue,Apr,18
yes,12.08,City Service,no,Wed,Mar,14
yes,2,Taxi Affiliation Services,no,Thu,Jan,18
yes,20.65,City Service,no,Thu,Mar,12
yes,2.22,Sun Taxi,no,Mon,Mar,14
yes,12.41,Sun Taxi,no,Fri,Feb,8
yes,3.9,other,no,Wed,Mar,14
yes,0,Taxicab Insurance Agency Llc,yes,Tue,Apr,14
yes,0.65,other,yes,Fri,Feb,7
yes,3.2,Taxi Affiliation Services,no,Mon,Mar,12
yes,1.25,City Service,no,Sat,Mar,10
yes,0.45,other,yes,Fri,Jan,9
yes,1.63,Taxicab Insurance Agency Llc,no,Tue,Mar,12
yes,17.4,Taxi Affiliation Services,no,Fri,Mar,16
yes,3.1,other,no,Fri,Apr,16
yes,1.25,City Service,yes,Fri,Apr,19
yes,1.04,Taxicab Insurance Agency Llc,no,Mon,Mar,12
yes,2.56,Taxicab Insurance Agency Llc,no,Sun,Mar,10
yes,16.64,City Service,no,Mon,Mar,16
yes,0.5,Taxi Affiliation Services,no,Thu,Apr,16
yes,1.53,other,no,Mon,Apr,16
yes,2.46,Sun Taxi,no,Tue,Mar,12
yes,0.5,other,yes,Wed,Mar,14
yes,16.83,City Service,no,Tue,Feb,16
yes,16.2,other,no,Wed,Apr,20
yes,17.57,City Service,no,Sun,Apr,5
yes,16.78,other,no,Thu,Feb,13
yes,17.96,other,no,Fri,Feb,9
yes,1.24,City Service,no,Thu,Feb,12
yes,0,Taxi Affiliation Services,no,Fri,Mar,20
yes,1.05,Flash Cab,yes,Fri,Apr,21
yes,1.59,Taxicab Insurance Agency Llc,no,Wed,Apr,18
yes,0.92,Flash Cab,no,Wed,Apr,13
yes,2.99,Taxicab Insurance Agency Llc,no,Sun,Mar,16
yes,1.98,other,no,Thu,Jan,9
yes,17.68,Sun Taxi,no,Sat,Apr,19
yes,0,Sun Taxi,yes,Sat,Mar,6
yes,18.98,Sun Taxi,no,Thu,Feb,8
yes,10.9,Taxi Affiliation Services,no,Sun,Apr,16
yes,2.11,City Service,no,Tue,Apr,18
yes,15.7,Taxi Affiliation Services,no,Thu,Mar,18
yes,4.96,Taxicab Insurance Agency Llc,no,Mon,Apr,8
yes,1.5,Chicago Independents,no,Thu,Feb,18
yes,2.51,Taxicab Insurance Agency Llc,no,Wed,Mar,15
yes,0,Taxi Affiliation Services,no,Mon,Mar,13
yes,17.4,Taxi Affiliation Services,no,Tue,Apr,20
yes,1.61,other,yes,Fri,Feb,20
yes,17.8,Sun Taxi,no,Sun,Apr,14
yes,0.1,Taxi Affiliation Services,no,Mon,Mar,15
yes,1.28,other,yes,Thu,Apr,13
yes,2.98,City Service,no,Tue,Apr,7
yes,1.67,Flash Cab,no,Fri,Feb,12
yes,0.51,other,yes,Fri,Apr,7
yes,17.34,Sun Taxi,no,Tue,Feb,16
yes,0.82,City Service,no,Wed,Feb,8
yes,4.88,other,yes,Fri,Feb,0
yes,0.8,Taxi Affiliation Services,no,Wed,Feb,20
yes,21.13,Taxicab Insurance Agency Llc,no,Fri,Mar,16
yes,17.07,other,no,Thu,Jan,17
yes,1.22,Flash Cab,no,Tue,Feb,19
yes,0.6,other,no,Wed,Feb,11
yes,2.7,other,no,Tue,Mar,18
yes,17.73,Flash Cab,no,Wed,Feb,14
yes,1.2,other,no,Tue,Feb,15
yes,1.09,other,yes,Wed,Mar,13
yes,0,Sun Taxi,yes,Sun,Mar,20
yes,3.47,other,no,Tue,Jan,12
yes,1.29,Sun Taxi,yes,Thu,Feb,8
yes,17.3,other,no,Wed,Mar,14
yes,1.97,other,no,Fri,Jan,8
yes,1.3,other,yes,Thu,Jan,10
yes,17.6,Taxi Affiliation Services,no,Sun,Mar,19
yes,2.44,Taxicab Insurance Agency Llc,no,Mon,Apr,20
yes,0.63,other,no,Wed,Feb,12
yes,0,Taxi Affiliation Services,yes,Sat,Feb,19
yes,1.5,other,no,Wed,Mar,15
yes,1.98,City Service,no,Mon,Mar,9
yes,16.58,Sun Taxi,no,Sat,Feb,16
yes,0,Taxi Affiliation Services,no,Wed,Mar,8
yes,0,Taxi Affiliation Services,yes,Mon,Jan,8
yes,0.43,Sun Taxi,no,Wed,Mar,22
yes,0.8,other,yes,Wed,Apr,11
yes,17.6,other,no,Mon,Jan,16
yes,2.6,Taxi Affiliation Services,no,Thu,Feb,10
yes,1.77,Sun Taxi,no,Tue,Jan,15
yes,2.3,Taxi Affiliation Services,no,Thu,Apr,18
yes,0.99,Sun Taxi,yes,Fri,Jan,18
yes,1.37,Taxicab Insurance Agency Llc,yes,Fri,Mar,21
yes,18.76,City Service,no,Thu,Mar,15
yes,1.04,Chicago Independents,yes,Thu,Jan,18
yes,15.85,Sun Taxi,no,Mon,Jan,15
yes,21.28,City Service,no,Fri,Apr,0
yes,17.85,City Service,no,Tue,Apr,17
yes,1.25,City Service,no,Fri,Mar,13
yes,16.92,Sun Taxi,no,Sun,Mar,13
yes,0.56,other,yes,Mon,Feb,16
yes,16.67,other,no,Mon,Jan,18
yes,0.72,Flash Cab,no,Wed,Feb,11
yes,18.2,other,no,Wed,Jan,20
yes,7.3,other,no,Wed,Apr,18
yes,9.84,other,no,Sat,Mar,7
yes,2.8,other,no,Sun,Apr,16
yes,0,Taxi Affiliation Services,yes,Wed,Feb,19
yes,3.5,Flash Cab,no,Fri,Mar,18
yes,0.67,City Service,yes,Tue,Jan,16
yes,17.7,Taxi Affiliation Services,no,Sun,Apr,13
yes,0.95,Sun Taxi,yes,Tue,Jan,9
yes,1.43,Sun Taxi,no,Wed,Mar,14
yes,0.1,Taxi Affiliation Services,no,Tue,Apr,10
yes,2,Taxi Affiliation Services,no,Wed,Mar,17
yes,5.04,Taxicab Insurance Agency Llc,no,Tue,Apr,12
yes,0.97,Flash Cab,no,Fri,Jan,21
yes,1.13,Taxicab Insurance Agency Llc,no,Wed,Mar,7
yes,0.8,City Service,no,Tue,Jan,14
yes,2,Taxi Affiliation Services,no,Wed,Apr,22
yes,0.9,Taxi Affiliation Services,yes,Tue,Jan,18
yes,16.78,Chicago Independents,no,Wed,Feb,6
yes,17.6,Taxi Affiliation Services,no,Thu,Apr,21
yes,0.51,Sun Taxi,yes,Thu,Apr,19
yes,0.57,other,no,Wed,Feb,15
yes,0.88,Sun Taxi,yes,Tue,Mar,9
yes,0.83,Taxicab Insurance Agency Llc,no,Mon,Apr,9
yes,0.7,Taxi Affiliation Services,no,Wed,Mar,17
yes,0,Taxicab Insurance Agency Llc,yes,Tue,Mar,20
yes,17.5,Taxi Affiliation Services,no,Tue,Apr,9
yes,0,Flash Cab,no,Mon,Jan,8
yes,17.6,Sun Taxi,no,Fri,Feb,8
yes,1.44,Flash Cab,no,Sat,Apr,19
yes,17.87,Taxicab Insurance Agency Llc,no,Thu,Apr,11
yes,1,other,no,Tue,Apr,8
yes,6.98,Sun Taxi,no,Thu,Mar,11
yes,0.64,Taxicab Insurance Agency Llc,no,Thu,Feb,16
yes,1.83,Taxicab Insurance Agency Llc,no,Thu,Apr,15
yes,2.01,City Service,no,Tue,Apr,15
yes,17.8,other,no,Thu,Jan,13
yes,1.57,other,no,Thu,Feb,18
yes,3.07,City Service,no,Sun,Feb,19
yes,18.61,City Service,no,Tue,Jan,17
yes,0,Taxicab Insurance Agency Llc,yes,Fri,Mar,6
yes,1.66,Sun Taxi,no,Mon,Mar,17
yes,1.64,Sun Taxi,no,Fri,Mar,19
yes,17.98,Chicago Independents,no,Mon,Apr,15
yes,0.72,Taxicab Insurance Agency Llc,no,Sun,Mar,12
yes,16.8,Chicago Independents,no,Wed,Apr,17
yes,1.58,other,yes,Thu,Apr,13
yes,0.41,City Service,yes,Wed,Feb,13
yes,17.84,Chicago Independents,no,Fri,Apr,12
yes,2.3,Taxi Affiliation Services,no,Tue,Feb,18
